text,intent
"Chào bạn",greeting
"Chào bạn, bạn cần hỗ trợ gì?",greeting
"Chào bạn, bạn có cần giúp đỡ gì không?",greeting
"Chào bạn, có gì bạn cần thảo luận hôm nay?",greeting
"Chào bạn, có gì bạn muốn hỏi không?",greeting
"Chào bạn, có gì tôi có thể hỗ trợ?",greeting
"Chào bạn, hãy cho tôi biết bạn cần gì",greeting
"Chào bạn, hy vọng bạn có một ngày tuyệt vời",greeting
"Chào bạn, làm ơn cho tôi biết bạn cần gì",greeting
"Chào bạn, rất vui được gặp bạn hôm nay",greeting
"Chào bạn, rất vui được phục vụ bạn",greeting
"Chào bạn, tôi có thể giúp gì cho bạn hôm nay?",greeting
"Chào bạn, tôi ở đây để giúp đỡ bạn",greeting
"Chào bạn, tôi ở đây để hỗ trợ bạn",greeting
"Chào bạn, tôi sẵn sàng lắng nghe yêu cầu của bạn",greeting
"Hello, bạn có khỏe không?",greeting
"Chào mừng bạn đến với dịch vụ của chúng tôi",greeting
"Chào",greeting
"Chào, bạn có cần hỗ trợ gì không?",greeting
"Chào, bạn có cần sự trợ giúp không?",greeting
"Chào, bạn có điều gì cần trao đổi?",greeting
"Chào, hãy cho tôi biết bạn cần gì",greeting
"Chào, rất vui được gặp bạn!",greeting
"Chào, rất vui được hỗ trợ bạn",greeting
"Chào, tôi có thể giúp bạn với điều gì?",greeting
"Chào, tôi có thể giúp gì cho bạn?",greeting
"Chào, tôi có thể hỗ trợ bạn với điều gì?",greeting
"Chào, tôi là chatbot của bạn, hãy chia sẻ với tôi",greeting
"Chào, tôi ở đây để giúp đỡ bạn",greeting
"Chào, tôi rất vui được giúp đỡ bạn",greeting
"Chào, tôi rất vui được hỗ trợ bạn",greeting
"Chào, tôi rất vui được trò chuyện với bạn",greeting
"Chào, tôi sẵn sàng giúp đỡ bạn",greeting
"Giúp tôi với vấn đề này",greeting
"Good afternoon, bạn có điều gì cần trao đổi không?",greeting
"Good afternoon, rất vui được hỗ trợ bạn!",greeting
"Good afternoon, tôi có thể giúp gì cho bạn?",greeting
"Good afternoon, tôi ở đây để giúp bạn!",greeting
"Good day, bạn có câu hỏi nào không?",greeting
"Good day, bạn có điều gì cần thảo luận không?",greeting
"Good day, tôi sẵn sàng lắng nghe bạn!",greeting
"Good evening, bạn có gì cần thảo luận không?",greeting
"Good evening, bạn đang tìm kiếm thông tin gì?",greeting
"Good evening, hãy chia sẻ với tôi nhu cầu của bạn!",greeting
"Good morning, bạn cần giúp đỡ gì không?",greeting
"Good morning, bạn cần hỗ trợ gì không?",greeting
"Good morning, bạn có cần sự trợ giúp không?",greeting
"Good morning, bạn có muốn hỏi điều gì không?",greeting
"Good morning, rất vui được gặp bạn!",greeting
"Good morning, tôi ở đây để hỗ trợ bạn!",greeting
"Good morning, tôi sẵn sàng giúp đỡ bạn!",greeting
"Hello",greeting
"Hello, bạn có điều gì cần trao đổi không?",greeting
"Hello, có gì tôi có thể hỗ trợ bạn không?",greeting
"Hello, hãy cho tôi biết bạn cần gì nhé!",greeting
"Hello, hãy cho tôi biết bạn cần gì!",greeting
"Hello, rất vui được gặp bạn!",greeting
"Hello, tôi có thể giúp gì cho bạn hôm nay?",greeting
"Hello, tôi có thể làm gì cho bạn?",greeting
"Hello, tôi ở đây để lắng nghe bạn!",greeting
"Hello, tôi rất vui được phục vụ bạn!",greeting
"Hi, bạn cần hỗ trợ gì không?",greeting
"Hi, bạn có câu hỏi nào không?",greeting
"Hi, bạn đang tìm kiếm thông tin gì?",greeting
"Hi, bạn muốn hỏi về điều gì?",greeting
"Hi, có gì tôi có thể hỗ trợ bạn không?",greeting
"Hi, hãy cho tôi biết bạn cần gì nhé!",greeting
"Hi, hãy cho tôi biết bạn cần gì!",greeting
"Hi, tôi có thể giúp gì cho bạn hôm nay?",greeting
"Hi, tôi có thể hỗ trợ bạn với điều gì?",greeting
"Hi, tôi ở đây để giúp đỡ bạn!",greeting
"Hi, tôi rất vui được gặp bạn hôm nay!",greeting
"Hi, tôi sẵn sàng giúp đỡ bạn!",greeting
"Rất vui được gặp bạn, bạn có khỏe không?",greeting
"Tôi cần giúp đỡ",greeting
"Tôi cần hỗ trợ",greeting
"Tôi cần sự trợ giúp",greeting
"Xin chào",greeting
"Xin chào, bạn có cần sự trợ giúp không?",greeting
"Xin chào, bạn có câu hỏi nào không?",greeting
"Xin chào, bạn có điều gì cần trao đổi không?",greeting
"Xin chào, bạn có khỏe không?",greeting
"Xin chào, bạn đang tìm kiếm thông tin gì?",greeting
"Xin chào, bạn muốn hỏi về điều gì?",greeting
"Xin chào, có điều gì bạn cần thảo luận không?",greeting
"Xin chào, có gì tôi có thể giúp bạn không?",greeting
"Xin chào, hãy chia sẻ với tôi nhu cầu của bạn",greeting
"Xin chào, hãy cho tôi biết bạn cần gì",greeting
